District,Latitude,Longitude,lat,lon,
ganjam,19.38765,85.05012,19.58903935,84.68991978,
jagatsinghapur,20.26238,86.16382,20.20031677,86.33801804,
jajapur,20.81768,86.34293,20.76842497,86.17517452,
jharsuguda,21.86528,84.02454,21.79482116,83.88987599,
kalahandi,19.86827798,83.10903938,19.91712086,83.16404041,
kandhamal,20.12749474,84.04784113,20.1369393,84.0172559,
kendrapara,20.50612,86.42107,20.58804122,86.6607636,
kendujhar,21.63193,85.58506,21.51830852,85.68440497,
khordha,20.17422,85.61388,20.132715,85.47863346,
koraput,18.81133,82.71254,18.85913837,82.73436949,
malkangiri,18.35906,81.88701,18.16733803,81.9534801,
mayurbhanj,21.8948951,86.41202693,22.01472487,86.41838201,
nabarangpur,19.23114,82.54826,19.50336381,82.30177141,
nayagarh,20.13129,85.12827,20.16865275,85.0230013,
nuapada,20.77646,82.54623,20.6464757,82.47510266,
puri,19.79825,85.82494,19.99960645,85.84879388,
rayagada,19.17323,83.4122,19.36050196,83.50667559,
sambalpur,21.46527,83.97573,21.47238113,84.18536681,
sonepur,25.70599,85.1492,20.88539335,83.89279789,
sundargarh,22.11958,84.04161,21.96772166,84.77333113,
karaikal,10.92549,79.83228,10.936609,79.79553588,
mahe,11.69938,75.53452,11.70305036,75.53412831,
puducherry,11.92993,79.8247,11.92202036,79.77328585,
yanam,16.73042,82.22375,16.71724086,82.26341687,
amritsar,31.63347,74.87507,31.7222065,74.87375612,
barnala,30.37451,75.5487,30.4029918,75.48176013,
bathinda,30.20747,74.93893,30.13056305,75.06076625,
faridkot,30.65548,74.76948,30.59761094,74.82696997,
fatehgarhsahib,30.6421632,76.37667752,30.68608578,76.40933495,
fazilka,30.40896,74.03481,30.19768303,74.12330423,
firozepur,30.92948,74.61748,31.00875467,74.87272612,
gurdaspur,32.04088,75.40136,31.94580951,75.24824438,
hoshiarpur,31.53723,75.91269,31.65342405,75.80758979,
jalandhar,31.33081,75.59016,31.22309976,75.57424162,
kapurthala,31.37775,75.39097,31.37109448,75.29422061,
ludhiana,30.90726,75.8492,30.77631153,75.99310342,
mansa punjab,29.99084,75.39997,29.99247048,75.43412424,
moga,30.81892,75.1777,30.69243564,75.24755767,
pathankot,32.27054,75.64904,32.31918829,75.59683793,
patiala,30.33625,76.3922,30.31482286,76.31603559,
rupnagar,30.97297,76.53273,31.1466454,76.50153915,
sangrur,30.25108,75.83437,30.39426447,75.8072464,
sas nagar,30.70346,76.69161,30.65046039,76.71055809,
shahid bhagat singh nagar,31.1104745,76.15476279,31.09597314,76.04021578,
sri muktsar sahib,30.46777,74.51819,30.24502409,74.50150651,
tarn taran,31.45959,74.92212,31.36572293,74.87341278,
ajmer,26.46554,74.63173,26.17142302,74.77982725,
alwar,27.55619,76.61238,27.4683291,76.64126595,
banswara,23.55173,74.44428,23.44036922,74.31147246,
baran,25.09606,76.50895,24.97608592,76.73364674,
barmer,25.75199,71.41381,25.7641645,71.38243207,
bharatpur,27.21087,77.48153,27.06764457,77.28613931,
bhilwara,25.34707,74.64081,25.43417428,74.78051386,
bikaner,28.01649,73.31183,28.19316009,73.27653088,
bundi,25.43425,75.6366,25.54666611,75.89986206,
chittorgarh,24.88963,74.62403,24.96256528,74.68721946,
churu,28.30415,74.96718,28.37426595,74.78154395,
dausa,26.89966,76.33038,26.79640749,76.36543983,
dholpur,26.69286,77.87968,26.73025255,77.65326389,
dungarpur,23.84163,73.7144,23.77161718,73.93563337,
ganganagar,29.92009,73.87496,29.32905677,73.65395905,
hanumangar,29.58182,74.32938,29.16065435,74.4991032,
jaipur,26.92591,75.80673,27.02677536,75.8995188,
jaisalmer,26.91946,70.9143,26.9590888,70.8116467,
jalore rajasthan,45.15343,4.00527,25.130322,72.14229449,
jhalawar,24.58979,76.16001,24.38274766,76.36303647,
jhunjhunu,28.12564,75.4004,28.09149423,75.52697803,
jodhpur,26.26694,73.03049,26.68963869,72.89880161,
karauli,26.48425,77.01885,26.49657043,77.1024849,
kota,25.16531,75.85126,25.09194072,75.9920732,
nagaur,27.20166,73.73202,27.18993079,74.02897697,
pali,25.77276,73.32335,25.75958133,73.55872083,
rajasthan pratapgarh,24.03943,74.77771,24.03498863,74.68653278,
rajsamand,25.05946,73.88316,25.22968626,73.74606374,
sawai madhopur,26.02301,76.34408,26.2416177,76.36269323,
sikar,27.61206,75.13996,27.60306576,75.24721421,
